embedding_text,category,label,predicted_label,predicted_category
العروسة شاى اخضر العروسة,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
لانشون فراخ بالزيتون من ريتش لانشون,Beef & Processed Meat,3,11,Cooking Ingredients
mayonnaise Mayonnaise 310g,"Sauces, Dressings & Condiments",29,10,"Condiments, Dressings & Marinades"
domty feta plus chedar Domty 250G,Dairy & Eggs,12,3,Beef & Processed Meat
اجا بسلة خضراء مجمدة اجا 400جم,Vegetables & Fruits,36,3,Beef & Processed Meat
الضحي ترمس الضحي 500جم,"Rice, Pasta & Pulses",28,9,Cleaning Supplies
دروو كيك سويس رول 1100 1 1100 دروو,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
هوت دوج بقري ميتلاند هوت,Beef & Processed Meat,3,34,"Tea, Coffee & Hot Drinks"
هول ويت برجر بالحبوب 4 ق هول,Beef & Processed Meat,3,37,Vegetables & Herbs
اب جوس عصير بودرة بنكهه البرتقال وزن اب,Soft Drinks & Juices,30,30,Soft Drinks & Juices
bahlsen gleichen milk choco125 Choco125,Biscuits & Cakes,4,12,Dairy & Eggs
biscuit with chocolate of 24 Biscuit 15g Pack,Biscuits & Cakes,4,4,Biscuits & Cakes
كرتونه مياه معدنيه 12 زجاجه كرتونه 1.5لتر,Water,38,38,Water
سناكس بطاطس كريمه حامض سناكس,Chips & Crackers,7,30,Soft Drinks & Juices
كرواسون بالزعتر هايبروان 4 قطع كرواسون,Bakery,1,7,Chips & Crackers
break supa 12 Break 38G,"Chocolates, Sweets & Desserts",8,5,Breakfast Cereals & Bars
moussy malt drink Moussy 330ml,Soft Drinks & Juices,30,30,Soft Drinks & Juices
duetto biscuit filled date Duetto,Biscuits & Cakes,4,22,"Nuts, Dates & Dried Fruits"
tchibo instant coffee gold selection pouch ram Tchibo 75g,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
وينكس منظف 500م وينكس,Cleaning Supplies,9,9,Cleaning Supplies
mirinda apple carbonated drink Mirinda 350ml Bottle,Soft Drinks & Juices,30,30,Soft Drinks & Juices
دوانى جينتل مركز دوانى 1لتر,Cleaning Supplies,9,20,Laundry & Detergents
لحمة موزة مستورد 8500 0655 5568 لحمة,Beef & Processed Meat,3,3,Beef & Processed Meat
funday chocolate popcorn m Funday 60g,Chips & Crackers,7,11,Cooking Ingredients
perfectly lemon lime flavour spring water & 500ml,Soft Drinks & Juices,30,30,Soft Drinks & Juices
قطعه ايس كريم سنكرز قطعه,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
maya natural water 6 Maya 2L,Water,38,38,Water
المراعى لانشون ساده المراعى,Beef & Processed Meat,3,3,Beef & Processed Meat
لحمة مفروم مخصوص 9600 0560 5376 لحمة,Beef & Processed Meat,3,3,Beef & Processed Meat
حليب المراعي حليب 1لتر,Dairy & Eggs,12,5,Breakfast Cereals & Bars
fig olive m Fig 400G,"Tins, Jars & Packets",35,36,Vegetables & Fruits
sun top iter pineappleorangemixed berries Sun 1l,Soft Drinks & Juices,30,15,Fruits
imtenan herbal salt m Imtenan 125g,Cooking Ingredients,11,10,"Condiments, Dressings & Marinades"
magical tossie jelly candy Tossie 20g,"Chocolates, Sweets & Desserts",8,30,Soft Drinks & Juices
juhayna mango juice iter Juhayna 1l,Soft Drinks & Juices,30,30,Soft Drinks & Juices
lion assorted chips Assorted Box,Chips & Crackers,7,7,Chips & Crackers
فروتي مشروب بودرة يوسفي، من 20 فروتي 12جم عبوة,"Tea, Coffee & Hot Drinks",34,30,Soft Drinks & Juices
عبور لاند جبنه اسطنبولي تترا عبور,Dairy & Eggs,12,3,Beef & Processed Meat
رومى قديم كيلو صافى وزن رومى,Dairy & Eggs,12,2,Beef & Lamb Meat
strained fava beans Strained 400g,"Tins, Jars & Packets",35,11,Cooking Ingredients
hyperone pomme frites 25k Hyperone,Vegetables & Fruits,36,19,"Jams, Spreads & Syrups"
بطاطس بالكباب من تايجر بطاطس 48جم,Chips & Crackers,7,11,Cooking Ingredients
فريسكل ويفر بكريمه شوكو وبندق 25 فريسكل 27جم,Biscuits & Cakes,4,7,Chips & Crackers
495 00 سناكس 6878 رانشيتو 4.95,Chips & Crackers,7,28,"Rice, Pasta & Pulses"
جبن براميلى سادة ٦٤٧٥ ١٠٦٠ ٦٨٦٤ جبن,Dairy & Eggs,12,8,"Chocolates, Sweets & Desserts"
lemon juice Juice,Soft Drinks & Juices,30,30,Soft Drinks & Juices
tomatoes Tomatoes(1Kg) 1Kg,Vegetables & Fruits,36,11,Cooking Ingredients
هاينز مسطردة 1 1675 1675 هاينز 235جم,"Sauces, Dressings & Condiments",29,18,Home Appliances
ليبتون شاى توليفه جديده 75فتله عرض سعر ليبتون,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
رقائق بطاطس شيبسي بالملح رقائق,Chips & Crackers,7,7,Chips & Crackers
lindor hazelnut chocolate bar m Bar 100g,"Chocolates, Sweets & Desserts",8,5,Breakfast Cereals & Bars
مينى بيتزا بالوزن مينى,Bakery,1,3,Beef & Processed Meat
هاينز صلصه طماطم هاينز 360جم,"Tins, Jars & Packets",35,28,"Rice, Pasta & Pulses"
العطار ميرميه 20فتله العطار,"Tea, Coffee & Hot Drinks",34,22,"Nuts, Dates & Dried Fruits"
شويبس جولد اناناس شويبس 300مل,Soft Drinks & Juices,30,19,"Jams, Spreads & Syrups"
star pasta penne Star 1kg,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
مكرونه مرمريه مكرونه 400جم,"Rice, Pasta & Pulses",28,3,Beef & Processed Meat
بطيخ شيليان بطيخ,Vegetables & Fruits,36,30,Soft Drinks & Juices
مياة طبيعية حياة مياة,Water,38,3,Beef & Processed Meat
دايم ستار لانشون دايم,Beef & Processed Meat,3,20,Laundry & Detergents
comfort blue 15 poff Comfort 2L,Cleaning Supplies,9,24,Perfumes & Deodorants
al suhagy fave beans ram Suhagy 500G,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
المناخي فلفل اسود المناخي,Cooking Ingredients,11,6,Candles & Air Fresheners
جهينه عصير بريميم تفاح جهينه 235مل,Soft Drinks & Juices,30,22,"Nuts, Dates & Dried Fruits"
7456 chicken ro 1 74.56,Poultry,27,27,Poultry
هول ويت برجر ساده 4ق هول,Beef & Processed Meat,3,6,Candles & Air Fresheners
juhayna pure mango and peach juice Juhayna 1L,Soft Drinks & Juices,30,30,Soft Drinks & Juices
مج زجاج بالغطاء مج,Furniture,16,30,Soft Drinks & Juices
مشروب شعير فيروز بالتفاح مشروب 330مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
ويفر غندور بالشوكولاتة ويفر 48جم,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
شبكه بطاطس بيبى 3ك شبكه,Vegetables & Fruits,36,28,"Rice, Pasta & Pulses"
ايطاليانو مكرونه سباحجتى 400 ايطاليانو,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
جياردينو كاتشب طماطم جياردينو 340جم,"Sauces, Dressings & Condiments",29,28,"Rice, Pasta & Pulses"
شويبس كانز يوسفى شويبس,Soft Drinks & Juices,30,30,Soft Drinks & Juices
taste beef bacon m Taste 200g,Beef & Processed Meat,3,3,Beef & Processed Meat
دره معجون طماطم برطمان تركيز 2224 دره,"Tins, Jars & Packets",35,22,"Nuts, Dates & Dried Fruits"
الربيع شاي اخضر طبيعي 100 فتله الربيع,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
علبه 3 1 كراميل علبه,Sweets & Desserts,33,23,Party Supplies And Gifts
توابل الشرق توابل,Cooking Ingredients,11,37,Vegetables & Herbs
atyab chicken launcheon kg Atyab,Poultry,27,3,Beef & Processed Meat
مصريه مكرونه فرن مصريه 350جم,"Rice, Pasta & Pulses",28,32,Sugar & Home Baking
كنور مرقه فوريه رام كنور 6ج,Cooking Ingredients,11,6,Candles & Air Fresheners
توك بسكويت توك,Biscuits & Cakes,4,4,Biscuits & Cakes
عافيه عباد 2400 عافيه,Cooking Ingredients,11,23,Party Supplies And Gifts
rehana egyptian white rice Rehana 5kg,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
شيبسي بالملح رام شيبسي 133ج,Chips & Crackers,7,2,Beef & Lamb Meat
1500 1500 1 مساحه الهلال والنجمه 15.00,Cleaning Supplies,9,37,Vegetables & Herbs
kiwi italy Kiwi 500g,Vegetables & Fruits,36,36,Vegetables & Fruits
local beef topside Beef 300g,Beef & Processed Meat,3,3,Beef & Processed Meat
كرواسون شوكولاته كرواسون,Bakery,1,8,"Chocolates, Sweets & Desserts"
كمقرى الشربتلى كمقرى 750جم,Vegetables & Fruits,36,19,"Jams, Spreads & Syrups"
خبز لولو بني صغير 1 ق خبز,Bakery,1,11,Cooking Ingredients
جورميه مصاصه جورميه 31ج,"Chocolates, Sweets & Desserts",8,22,"Nuts, Dates & Dried Fruits"
name natural pink coarse salt Name:,Cooking Ingredients,11,38,Water
ريزو تشكن علبه ريزو,Biscuits & Cakes,4,28,"Rice, Pasta & Pulses"
ستورك بونبون ستورك 200ج,"Chocolates, Sweets & Desserts",8,32,Sugar & Home Baking
barilla spaghetti n7 Spaghetti 500g,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
بن فاتح محوج 41ك بن,"Tea, Coffee & Hot Drinks",34,3,Beef & Processed Meat
جنرال سائل منظف ارضيات جنرال 3.1لتر,Cleaning Supplies,9,9,Cleaning Supplies
ماجى خلطة البشاميل بالجبنة ٥ 495 2 990 ماجى,Cooking Ingredients,11,11,Cooking Ingredients
دومتى اسطنبولى دومتى 500ج,Dairy & Eggs,12,28,"Rice, Pasta & Pulses"
بسكويت شاي اولكر وسط 200 5000 1000 بسكويت,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
ريتش كفته سيخ ريتش 300جم,Beef & Processed Meat,3,28,"Rice, Pasta & Pulses"
علبه صفيح كبير العبد علبه,Sweets & Desserts,33,23,Party Supplies And Gifts
ثوميه صوص ثوميه,"Sauces, Dressings & Condiments",29,33,Sweets & Desserts
500 egp مياه حياه 1 5.00 600مل,Water,38,38,Water
كوكاكولا كوكاكولا 1.5لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
faragello chicken burger 15k Chicken,Beef & Processed Meat,3,27,Poultry
cider vinegar american 473m Cider,"Sauces, Dressings & Condiments",29,30,Soft Drinks & Juices
خبز فينو دومتى خبز,Bakery,1,8,"Chocolates, Sweets & Desserts"
ريتش رويال رومي ريتش,Poultry,27,28,"Rice, Pasta & Pulses"
صوص فرسكس 10 كب صوص,"Sauces, Dressings & Condiments",29,5,Breakfast Cereals & Bars
dilmah flavoured ceylon black tea cinnamon 20 teabags Tea,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
greenland istanboly cheese Cheese 125G,Dairy & Eggs,12,11,Cooking Ingredients
meatland chicken pane Chicken 1Kg,Poultry,27,27,Poultry
لمار حليب كامل الديسم لمار 1لتر,Dairy & Eggs,12,30,Soft Drinks & Juices
طبق جاتوه بلاستيك ابيض طبق,Furniture,16,4,Biscuits & Cakes
turkish cherry hot pepper Turkish 250g,Vegetables & Fruits,36,11,Cooking Ingredients
كلاسيك كوليكشن كوكيز كلاسيك 310جم,Biscuits & Cakes,4,7,Chips & Crackers
شرائح تونة أمريكانا مدخنة شرائح 120جم,"Tins, Jars & Packets",35,11,Cooking Ingredients
ايزيس نعناع 28فتله ايزيس,"Tea, Coffee & Hot Drinks",34,22,"Nuts, Dates & Dried Fruits"
"نسكافية كلاسيك ظرف 25 2375 نسكافية ١,٨جم","Tea, Coffee & Hot Drinks",34,13,Disposables & Napkins
برطمان المايونيز برطمان 280جم,"Tins, Jars & Packets",35,23,Party Supplies And Gifts
احمد تى 100فتله انجليزى no1 احمد,"Tea, Coffee & Hot Drinks",34,22,"Nuts, Dates & Dried Fruits"
tiger tomato potato chips 35 Tiger 40g,Chips & Crackers,7,11,Cooking Ingredients
مكرونة انواع فينيسيا رام مكرونة 400ج,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
لانشون بقري بالبهار شرائح ميتكو لانشون 200جم,Beef & Processed Meat,3,28,"Rice, Pasta & Pulses"
biscato digesta butter biscuits ram Biscato 220G,Biscuits & Cakes,4,4,Biscuits & Cakes
فريش فارم سلامي مدخن وزن فريش,Beef & Processed Meat,3,3,Beef & Processed Meat
٩٠٠٠ ٤٥٠٠ ٢ مياه معدنية دسانى صغيرة ٩٠.٠٠ كرتونة,Water,38,9,Cleaning Supplies
فايز السوهاجى فول مجروش ، فايز 500جم,"Rice, Pasta & Pulses",28,19,"Jams, Spreads & Syrups"
janumet 50 850 mg 56 f c tab علبه Janumet,Nan,21,34,"Tea, Coffee & Hot Drinks"
بيبسى كانز بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
كلاسك ميني رول كلاسك,Bakery,1,7,Chips & Crackers
مياه معدنية صغيرة مياه,Water,38,38,Water
اريال فوق اتوماتيك داوني جم 1700 اريال,Cleaning Supplies,9,18,Home Appliances
بسكويت الشوفان الذهبي من مكفت بسكويت,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
صن شاين تونة مفتته جم 95 صن,"Tins, Jars & Packets",35,34,"Tea, Coffee & Hot Drinks"
harvest fava beans m 2 15 discount Harvest 400g Can,"Tins, Jars & Packets",35,37,Vegetables & Herbs
دانون تيستى فواكه دانون 120جم,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
شاى فواكة بنكهة المشمش 20 ظرف فويل شاى,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
1 chicken Chicken,Poultry,27,27,Poultry
white quinoa seeds m White 400g,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
دومتى عصير مشكل دومتى 235مل,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
سبرايت زيرو سكر كانز سبرايت 300مل,Soft Drinks & Juices,30,8,"Chocolates, Sweets & Desserts"
بيبسى كولا كانز بيبسى 330مل,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
كوكس بيكنج بودر علبه 50 ظرف رام كوكس 16ج,Cooking Ingredients,11,35,"Tins, Jars & Packets"
president smoked cheese President 500g,Dairy & Eggs,12,3,Beef & Processed Meat
شويبس مشروب يوسفي ل شويبس 250مل,Soft Drinks & Juices,30,30,Soft Drinks & Juices
سكيتلز بالتوت البري، سكيتلز 38جم عبوة,"Chocolates, Sweets & Desserts",8,35,"Tins, Jars & Packets"
عيش لبنانى دايت 5سبينيس عيش,Bakery,1,20,Laundry & Detergents
طحينة طحينة علبة,"Sauces, Dressings & Condiments",29,35,"Tins, Jars & Packets"
مكرونه الضحى مكرونه,"Rice, Pasta & Pulses",28,8,"Chocolates, Sweets & Desserts"
أمريكانا ملوخية مفروم رام أمريكانا 400ج,Vegetables & Fruits,36,3,Beef & Processed Meat
مزارع دينا لبن مزارع,Dairy & Eggs,12,37,Vegetables & Herbs
فريسكا فينجرز ش فريسكا,Biscuits & Cakes,4,7,Chips & Crackers
durra sweet tomato ketchup Durra 250g,"Tins, Jars & Packets",35,22,"Nuts, Dates & Dried Fruits"
جبنة رومى بطارخ 11500 0324 3726 جبنة,Dairy & Eggs,12,5,Breakfast Cereals & Bars
jacker tomato potato chips m Jacker 160g,Chips & Crackers,7,7,Chips & Crackers
امتنان سل امتنان 450ج,Cooking Ingredients,11,6,Candles & Air Fresheners
هاينز مايونيز هاينز 180جم,"Sauces, Dressings & Condiments",29,20,Laundry & Detergents
دجاجه كامله 9001100 دجاجه,Poultry,27,3,Beef & Processed Meat
بريك تى كرك 8ظرف بريك 25جم,"Tea, Coffee & Hot Drinks",34,7,Chips & Crackers
ايزيس نعناع 12 فلتر ايزيس,"Tea, Coffee & Hot Drinks",34,28,"Rice, Pasta & Pulses"
بيك رولز بيك 38ج,Chips & Crackers,7,7,Chips & Crackers
مشكل سوبر لوكس وسط 35 ق علبه مشكل,"Rice, Pasta & Pulses",28,19,"Jams, Spreads & Syrups"
nestle mineral water Water 600ml,Water,38,38,Water
1 بيبسي كانز 355 مم 500 500 بيبسي,Soft Drinks & Juices,30,30,Soft Drinks & Juices
زبادي كبير 400 4 1600 زبادي,Dairy & Eggs,12,3,Beef & Processed Meat
roasty chicken pane m Roasty 500g,Poultry,27,11,Cooking Ingredients
كوكيز ويفر شوكولاته كوكيز,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
هاينز مايونيز كاتشب ديوباك هاينز 285جم,"Sauces, Dressings & Condiments",29,8,"Chocolates, Sweets & Desserts"
merba chocolate chip cookies ram Merba 150g,Biscuits & Cakes,4,7,Chips & Crackers
soda water Soda,Water,38,38,Water
نستله مياه كرتونه 12زجاجه نستله,Water,38,22,"Nuts, Dates & Dried Fruits"
كاري باب الشام كاري 45جم,Cooking Ingredients,11,3,Beef & Processed Meat
مكرونة مرمرية ستار مكرونة 400جم,"Rice, Pasta & Pulses",28,11,Cooking Ingredients
elbow pasta Pasta 400g,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
بيبسى كانز 355 مم بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
برسيل اوتوماتيك روز جيل برسيل 6كجم,Cleaning Supplies,9,18,Home Appliances
big babol gum strawberry Big 27G,"Chocolates, Sweets & Desserts",8,37,Vegetables & Herbs
بسكويت بندق دافيت بسكويت 82ج,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
نبيل بسكويت مملح نبيل,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
فيمتو مشروب توت مشكل فيمتو 710جم,Soft Drinks & Juices,30,30,Soft Drinks & Juices
royal hills red kidney beans m Red 400g,"Tins, Jars & Packets",35,37,Vegetables & Herbs
نستلة زبادي فواكه بالمانجو نستلة 105جم,Dairy & Eggs,12,11,Cooking Ingredients
دجاج كامل السبيل 950ظ دجاج 1000جم,Poultry,27,3,Beef & Processed Meat
امريكان ج صوص مكرونة ارابياتا امريكان 397ج,"Sauces, Dressings & Condiments",29,11,Cooking Ingredients
غدير مكرونه فرن غدير 350جم,"Rice, Pasta & Pulses",28,5,Breakfast Cereals & Bars
كادبورى شيكولاته بابلى كادبورى 28جم,"Chocolates, Sweets & Desserts",8,4,Biscuits & Cakes
عصير جوافة بيور من جهينة عصير 1لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
بشاير عصير برتقال بشاير,Soft Drinks & Juices,30,30,Soft Drinks & Juices
island thousand Thousand,"Sauces, Dressings & Condiments",29,31,Stationary
جبنه طماطم جبنه,Dairy & Eggs,12,36,Vegetables & Fruits
فول بالفلفل الحار فول 400جم,"Tins, Jars & Packets",35,3,Beef & Processed Meat
اوراك رومى اوراك 1كجم,Poultry,27,32,Sugar & Home Baking
lokma haneya egyptian rice Haneya 1kg,"Rice, Pasta & Pulses",28,28,"Rice, Pasta & Pulses"
ميكس جيلي كاندي ميكس 180جم,"Chocolates, Sweets & Desserts",8,23,Party Supplies And Gifts
ميرندا برتقال ميرندا 3لتر,Soft Drinks & Juices,30,22,"Nuts, Dates & Dried Fruits"
لتر كولا 1000 لتر,Soft Drinks & Juices,30,20,Laundry & Detergents
فارم فريتس بطاطس بوم فريت فارم 1كجم,Vegetables & Fruits,36,3,Beef & Processed Meat
دومتى جبنه فيتا بلس تتراباك دومتى 250جم,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
معمول ابو علي بالتمر معمول 40جم,Bakery,1,5,Breakfast Cereals & Bars
دانون أكتيفيا زبادى طبيعى، رام دانون 120ج,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
ماكسيل ماجيك منظقف المطابخ 500 ماكسيل,Cleaning Supplies,9,9,Cleaning Supplies
فحمه قفل مفتاح فلتر علبه زيت دريكسيون فحمه,Cooking Ingredients,11,6,Candles & Air Fresheners
بيبسى كانز بيبسى,Soft Drinks & Juices,30,30,Soft Drinks & Juices
domty istanbolly plus cheese Domty 500g,Dairy & Eggs,12,3,Beef & Processed Meat
dili natural carob drink Carob 1L,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
اوريو بسكويت بكريمه الفانيليا اوريو 55.2G,Biscuits & Cakes,4,8,"Chocolates, Sweets & Desserts"
حليب بودرة ميرو ميكس بالفراولة حليب 30جم,Dairy & Eggs,12,22,"Nuts, Dates & Dried Fruits"
احمد تى شاى انجليزى رقم 1 20 احمد,"Tea, Coffee & Hot Drinks",34,34,"Tea, Coffee & Hot Drinks"
food rose water Food 250Ml,Water,38,38,Water
chtaura sambousek sheets m Chtaura 350g,Bakery,1,19,"Jams, Spreads & Syrups"
كيتشين اكسبريس عدس أصفر سادة كيتشين 1كجم,"Rice, Pasta & Pulses",28,30,Soft Drinks & Juices
california garden solid tuna with sunflower oil m Garden 185G,"Tins, Jars & Packets",35,11,Cooking Ingredients
ثوم صينى الجزار وزن ثوم,Vegetables & Fruits,36,22,"Nuts, Dates & Dried Fruits"
twix choco biscuit rams 25 count Twix 50g,Biscuits & Cakes,4,4,Biscuits & Cakes
علبه مسقعه علبه,Bakery,1,30,Soft Drinks & Juices
فريش فارم قشطه بق فريش,Dairy & Eggs,12,3,Beef & Processed Meat
اكوافينا مياه طبيعيه كرتونه 12ق اكوافينا 1.5لتر,Water,38,38,Water
bathtub cleaner Bathtub 500Ml,Cleaning Supplies,9,9,Cleaning Supplies
مزارع دينا رايب كامل الدسم quantity مزارع 850مل,Dairy & Eggs,12,37,Vegetables & Herbs
mango fresh juicedisplay Mango,Soft Drinks & Juices,30,30,Soft Drinks & Juices
كرنب سلطة 2000 8 1600 كرنب,Vegetables & Fruits,36,37,Vegetables & Herbs
rose water Rose,Water,38,38,Water
فلفل الوان مشكل 1085 18 1953 فلفل,Vegetables & Fruits,36,22,"Nuts, Dates & Dried Fruits"
عصير فروتى مركز عصير,Soft Drinks & Juices,30,30,Soft Drinks & Juices
كلاسيك بسكويت بكولكشن علبه صفيح كلاسيك 620جم,Biscuits & Cakes,4,7,Chips & Crackers
فريك زمزم فريك 500جم,"Rice, Pasta & Pulses",28,19,"Jams, Spreads & Syrups"
صدور دجاج بالعظم صدور,Poultry,27,3,Beef & Processed Meat
عظيمة فريك عظيمة 500جم,"Rice, Pasta & Pulses",28,19,"Jams, Spreads & Syrups"
تايجر سوبر بطاطس شيبس بطعم الجبنة المتبل تايجر,Chips & Crackers,7,3,Beef & Processed Meat
amr مشروم شرائح A.M.R 800جم,"Tins, Jars & Packets",35,19,"Jams, Spreads & Syrups"
katilo roomy cheese vacuum Roomy 200g Pack,Dairy & Eggs,12,18,Home Appliances
healthy red kidney beans ram Red 400G,"Tins, Jars & Packets",35,37,Vegetables & Herbs
دزريتوس رقائق بالجبنه دزريتوس,Chips & Crackers,7,8,"Chocolates, Sweets & Desserts"
اي ام ار شرائح اي 400جم,"Tins, Jars & Packets",35,3,Beef & Processed Meat
maggi bechamel mix ram Maggi 75g,Cooking Ingredients,11,2,Beef & Lamb Meat
arge water dasani 1999 100 19.99 19.99L,Water,38,38,Water
جارليك سلو صوص جارليك,"Sauces, Dressings & Condiments",29,8,"Chocolates, Sweets & Desserts"
نسكافيه 31 24ظرف نسكافيه 18جم,"Tea, Coffee & Hot Drinks",34,22,"Nuts, Dates & Dried Fruits"
الزهار الزهار,Bakery,1,5,Breakfast Cereals & Bars
t 7850 مستر كريسبس 23925 T 65ج,Chips & Crackers,7,5,Breakfast Cereals & Bars
صافى زجاج صافى 1.5لتر,Water,38,30,Soft Drinks & Juices
la vache qui eit triangle cheese Vache,Dairy & Eggs,12,3,Beef & Processed Meat
puvana sparkling water medium Puvana 240ml,Water,38,38,Water
مشروم قطع و شرائح من امريكان جاردن مشروم 425جم,"Tins, Jars & Packets",35,19,"Jams, Spreads & Syrups"
الضحى ملاحه فلفل اسود ناعم الضحى,Cooking Ingredients,11,22,"Nuts, Dates & Dried Fruits"
شهية سلطة زيتون شهية 330جم,"Tins, Jars & Packets",35,33,Sweets & Desserts
el balad tahina Tahina 250g,"Sauces, Dressings & Condiments",29,34,"Tea, Coffee & Hot Drinks"
كرونا مشروب كاكاو كرونا 77جم,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
فيجيتا توابل للطعام 1975 1 1975 فيجيتا ٧٥جم,Cooking Ingredients,11,36,Vegetables & Fruits
عصير توت بري من لمار عصير 1لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
mirinda plus citrus 30 Mirinda Can,Soft Drinks & Juices,30,10,"Condiments, Dressings & Marinades"
توليدر ذره حلوه معلبه توليدر 400جم,"Tins, Jars & Packets",35,8,"Chocolates, Sweets & Desserts"
فريش فارم هوت دوج بقري 1 كيلو، فريش,Beef & Processed Meat,3,22,"Nuts, Dates & Dried Fruits"
جبنة جودة فريكو جبنة,Dairy & Eggs,12,3,Beef & Processed Meat
كوكاكولا اوريجينال كانز ل كوكاكولا 330مل,Soft Drinks & Juices,30,7,Chips & Crackers
molly s custard pie S 400G,Bakery,1,11,Cooking Ingredients
البوادي طحينه ١٣٥ ١٠٠٠ ١ ١٠٠٠ البوادي,"Sauces, Dressings & Condiments",29,22,"Nuts, Dates & Dried Fruits"
merba biscuit chocolate cookies m Merba 225g,Biscuits & Cakes,4,4,Biscuits & Cakes
جبنه بيضاء براميلى وزن جبنه,Dairy & Eggs,12,2,Beef & Lamb Meat
mc ketchup m Mc 500g,"Sauces, Dressings & Condiments",29,11,Cooking Ingredients
rich luncheon beef olives kg Rich,Beef & Processed Meat,3,11,Cooking Ingredients
كيكة الرول السويسري بالمانجو 5 قطع كيكة,Bakery,1,11,Cooking Ingredients
كيكة الرول السويسري بالمانجو 5 قطع كيكة,Bakery,1,11,Cooking Ingredients
اكوافينا جالون اكوافينا 19لتر,Water,38,6,Candles & Air Fresheners
لفة كوبيات بلاستيك لفة,Furniture,16,35,"Tins, Jars & Packets"
بذور بروكلى بذور 100جم,Vegetables & Fruits,36,5,Breakfast Cereals & Bars
koki crunchy chicken pane Koki 1Kg,Poultry,27,11,Cooking Ingredients
cetris multi purpose cleaner lemon itre Cetris 1L,Cleaning Supplies,9,9,Cleaning Supplies
جهينه مشروب تفاح جهينه 1لتر,Soft Drinks & Juices,30,34,"Tea, Coffee & Hot Drinks"
ليبتون 25ف خصم ليبتون,"Tea, Coffee & Hot Drinks",34,2,Beef & Lamb Meat
ميرندا تفاح 1 475 ميرندا ٤٠٠مل,Soft Drinks & Juices,30,22,"Nuts, Dates & Dried Fruits"
بسكويت أصابع والكرز ميني بالزبدة بسكويت 125جم,Biscuits & Cakes,4,7,Chips & Crackers
organic anise 100 tea bags Organic,"Tea, Coffee & Hot Drinks",34,35,"Tins, Jars & Packets"
جهينة عصير ميكس بيري كلاسيك فائق الجودة، ، جهينة 1لتر,Soft Drinks & Juices,30,30,Soft Drinks & Juices
dobella mixed pickles ram Mixed 370G,"Tins, Jars & Packets",35,11,Cooking Ingredients
sekem sesame oil m Sekem 250g,Cooking Ingredients,11,19,"Jams, Spreads & Syrups"
شيتوس بافس عائلى شيتوس 83جم,Chips & Crackers,7,28,"Rice, Pasta & Pulses"
عصير راني مانجو تترباك عصير,Soft Drinks & Juices,30,30,Soft Drinks & Juices
بيبتو بيبتو 35ج,"Chocolates, Sweets & Desserts",8,30,Soft Drinks & Juices
باونتى ارابيك شيكولاته باونتى,"Chocolates, Sweets & Desserts",8,8,"Chocolates, Sweets & Desserts"
شويبس مشروب غازي شويبس,Soft Drinks & Juices,30,30,Soft Drinks & Juices
farm fresh green olive Farm 1kg,Vegetables & Fruits,36,3,Beef & Processed Meat
